_id,Firts Name,Last Name,Center,test_date,userscore,physics,chemistry,maths,resultstatus,pp_totalmarks
874,Marsha,Canton,Brooklyn,2024-07-21,,,,,Absent,75
875,Euna,Risk,Manhattan,2024-07-14,,,,,Absent,720
876,Leopoldo,Osby,Brooklyn,2024-07-14,454,32,106,,Present,720
877,Stormy,Browder,Staten Island,2024-06-23,399,83,69,,Present,720
878,Karrie,Morrisey,Manhattan,2024-07-14,,,,,Absent,720
879,Tammera,Uzzle,Manhattan,2024-06-23,,,,,Absent,720
880,Mavis,Macrae,Brooklyn,2024-07-14,79,30,34,15,Present,300
881,Ellyn,Labrie,Manhattan,2024-06-09,,,,,Absent,75
882,Heike,Roehrig,Brooklyn,2024-06-23,365,42,44,,Present,720
883,Milissa,Tiffany,Manhattan,2024-07-14,303,34,21,,Present,720
884,Mona,Clow,Queens,2024-07-14,,,,,Absent,300
885,Aurelio,Angles,Brooklyn,2024-06-16,,,,,Absent,300
886,Dominque,Bogner,Manhattan,2024-07-14,487,93,98,,Present,720
887,Lorriane,Lovitt,Manhattan,2024-07-07,13,-3,6,10,Present,300
888,Fransisca,Bouie,Brooklyn,2024-07-07,,,,,Absent,300
889,Joy,Girard,Manhattan,2024-07-14,49,9,9,18,Present,75
890,Tamisha,Steinert,Brooklyn,2024-07-21,59,,,,Present,75
891,Katrina,Boyce,Manhattan,2024-07-07,,,,,Absent,300
892,Concetta,Everts,Brooklyn,2024-05-19,189,24,15,,Present,720
893,Lashaun,Havlik,Brooklyn,2024-07-07,88,18,39,31,Present,300
894,Loida,Lessman,Brooklyn,2024-07-14,,,,,Absent,720
895,Conception,Pritt,Brooklyn,2024-06-23,410,53,56,,Present,720
896,Glenna,Hoffman,Manhattan,2024-07-14,174,67,56,51,Present,300
897,Matha,Pasco,Brooklyn,2024-07-14,49,29,16,4,Present,180
898,Lacy,Lampman,Brooklyn,2024-07-14,223,27,1,,Present,720
899,Rheba,Lueras,Manhattan,2024-06-09,44,7,11,14,Present,75
900,Brenda,Thakkar,Manhattan,2024-06-30,164,52,30,82,Present,300
901,Wilda,Spagnolo,Brooklyn,2024-07-14,,,,,Absent,180
902,Eileen,Lightford,Brooklyn,2024-06-23,400,80,47,,Present,720
903,Jeanne,Farias,Manhattan,2024-06-30,32,,,,Present,75
904,Janella,Dangelo,Manhattan,2024-07-14,,,,,Absent,720
905,Angelina,Dunneback,Brooklyn,2024-07-14,,,,,Absent,720
906,Nella,Denker,Manhattan,2024-06-23,290,9,61,,Present,720
907,Bula,Fenstermaker,Brooklyn,2024-07-14,170,73,59,38,Present,300
908,Joshua,Raminez,Manhattan,2024-07-14,223,51,4,,Present,720
909,Krysta,Alsup,Manhattan,2024-07-21,51,,,,Present,75
910,Toya,Skow,Brooklyn,2024-06-16,98,41,15,42,Present,300
911,Kimberli,Harrington,Manhattan,2024-06-16,,,,,Absent,300
912,Caren,Mckey,Manhattan,2024-07-14,,,,,Absent,180
913,Erica,Duden,Manhattan,2024-06-23,,,,,Absent,720
914,Honey,Binder,Manhattan,2024-06-16,,,,,Absent,300
915,Hipolito,Yamasaki,Brooklyn,2024-06-30,136,70,33,33,Present,300
916,Burma,Deyoe,Brooklyn,2024-07-14,,,,,Absent,180
917,Wayne,Earp,Manhattan,2024-06-16,,,,,Absent,300
918,Guillermo,Feltz,Manhattan,2024-06-23,,,,,Absent,720
919,Debby,Reynosa,Brooklyn,2024-06-30,163,66,38,59,Present,300
920,Oleta,Kwong,Manhattan,2024-06-16,25,8,5,12,Present,300
921,Phoebe,Nestle,Brooklyn,2024-07-14,,,,,Absent,180
922,Lyda,Mcmunn,Manhattan,2024-06-16,,,,,Absent,300
923,Saturnina,Albin,Brooklyn,2024-06-16,,,,,Absent,300
924,Zoe,Orndorff,Brooklyn,2024-06-23,,,,,Absent,720
925,Robin,Acheson,Brooklyn,2024-06-30,,,,,Absent,300
926,Rafaela,Zamarripa,Manhattan,2024-06-23,400,53,57,,Present,720
927,Fransisca,Rand,Manhattan,2024-07-14,27,-1,16,12,Present,180
928,Foster,Villicana,Manhattan,2024-06-30,19,21,3,-5,Present,300
929,Penney,Lachowicz,Manhattan,2024-06-16,54,26,5,23,Present,300
930,Lovella,Dao,Manhattan,2024-06-23,231,43,9,,Present,720
931,Harriet,Woodrow,Manhattan,2024-07-14,535,92,117,,Present,720
932,Harmony,Ohair,Manhattan,2024-07-14,75,38,12,25,Present,180
933,Ardelia,Fritz,Manhattan,2024-06-16,64,6,8,50,Present,300
934,Twyla,Kennemer,Manhattan,2024-07-14,543,117,125,,Present,720
935,Noelia,Gossard,Manhattan,2024-07-14,33,0,24,9,Present,180
936,Kasie,Newbrough,Manhattan,2024-06-23,,,,,Absent,720
937,Cristine,Brook,Brooklyn,2024-06-30,,,,,Absent,300
938,Jaclyn,Dodson,Manhattan,2024-06-30,140,66,31,43,Present,300
939,Peter,Looney,Manhattan,2024-07-14,,,,,Absent,180
940,Rosanna,Rayburn,Manhattan,2024-06-16,,,,,Absent,300
941,Vivien,Escalera,Brooklyn,2024-06-23,449,105,44,,Present,720
942,Cindi,Kenley,Brooklyn,2024-07-14,51,3,20,28,Present,180
943,Norman,Earles,Brooklyn,2024-07-14,10,-7,8,9,Present,180
944,Kandice,Lopez,Brooklyn,2024-07-14,33,7,20,6,Present,180
945,Dawna,Moss,Manhattan,2024-06-23,,,,,Absent,720
946,Ray,Capp,Brooklyn,2024-06-16,65,,,,Present,75
947,Keeley,Harty,Manhattan,2024-07-14,43,-1,17,27,Present,180
948,Charlesetta,Chae,Manhattan,2024-06-30,197,95,42,60,Present,300
949,Jacquelyne,Hibbler,Manhattan,2024-06-30,147,65,17,65,Present,300
950,Anastasia,Calderwood,Brooklyn,2024-06-23,,,,,Absent,720
951,Ermelinda,Mccluney,Brooklyn,2024-07-14,,,,,Absent,180
952,Lucia,Postel,Manhattan,2024-06-16,225,70,70,85,Present,300
953,Malinda,Clubb,Brooklyn,2024-06-30,140,80,27,33,Present,300
954,Evelynn,Hughley,Manhattan,2024-07-14,48,4,14,30,Present,180
955,Ricki,Palazzo,Manhattan,2024-06-16,,,,,Absent,75
956,Tara,Boxx,Manhattan,2024-06-23,368,66,31,,Present,720
957,Laverne,Griffiths,Manhattan,2024-06-23,,,,,Absent,75
958,Kermit,Stairs,Brooklyn,2024-05-19,,,,,Absent,300
959,Toney,Razor,Brooklyn,2024-06-30,66,,,,Present,80
960,Leatha,Barfoot,Brooklyn,2024-06-30,35,,,,Present,80
961,Gus,Brawner,Brooklyn,2024-06-30,,,,,Absent,300
962,Judith,Coggin,Brooklyn,2024-06-16,41,,,,Present,75
963,Porter,Bridge,Brooklyn,2024-06-23,,,,,Absent,75
964,Wilma,Towne,Manhattan,2024-06-23,317,33,21,,Present,720
965,Normand,Kuehner,Brooklyn,2024-06-23,445,94,25,,Present,720
966,Lashell,Bibbs,Brooklyn,2024-07-07,341,68,77,,Present,720
967,Collene,Collado,Brooklyn,2024-06-16,,,,,Absent,300
968,Janessa,Conine,Staten Island,2024-05-19,280,30,34,,Present,720
969,Brigette,Bloomfield,Manhattan,2024-07-14,-10,3,-7,-6,Present,180
970,Jerome,Hunley,Manhattan,2024-06-30,166,50,50,66,Present,300
971,Avril,Krogh,Brooklyn,2024-06-16,,,,,Absent,300
972,Kizzy,Hinkle,Brooklyn,2024-07-14,32,1,12,19,Present,180
973,Kristeen,Patrick,Manhattan,2024-06-16,,,,,Absent,300
974,Briana,Feehan,Manhattan,2024-06-16,78,35,31,12,Present,300
975,Mica,Biffle,Manhattan,2024-06-23,,,,,Absent,720
976,Perla,Myles,Brooklyn,2024-05-19,64,10,31,23,Present,300
977,Lavern,Bays,Bronx,2024-05-19,,,,,Absent,300
978,Marietta,Sun,Staten Island,2024-06-16,,,,,Absent,75
979,Jeri,Buttner,Manhattan,2024-07-28,90,41,8,41,Present,300
980,Hang,Hutter,Manhattan,2024-05-19,366,85,54,,Present,720
981,Kimber,Couture,Manhattan,2024-05-19,321,43,102,,Present,720
982,Patsy,Veliz,Manhattan,2024-07-14,186,12,33,,Present,360
983,Creola,Mcpeters,Manhattan,2024-05-19,250,60,65,,Present,720
984,Bari,Burkhardt,Manhattan,2024-06-23,,,,,Absent,720
985,Drucilla,Bhakta,Queens,2024-05-19,,,,,Absent,300
986,Chara,Messana,Queens,2024-06-23,,,,,Absent,720
987,Inocencia,Pfannenstiel,Brooklyn,2024-07-28,,,,,Absent,300
988,Divina,Goodson,Brooklyn,2024-07-07,364,48,84,,Present,720
989,Britt,Leclerc,Manhattan,2024-05-19,328,96,45,,Present,720
990,Meryl,Mast,Manhattan,2024-07-14,207,50,55,,Present,360
991,Otelia,Trottier,Manhattan,2024-07-14,10,-8,10,8,Present,180
992,Marnie,Larue,Brooklyn,2024-06-23,403,57,6,,Present,720
993,Rufus,Heldt,Queens,2024-06-16,,,,,Absent,75
994,Le,Harbin,Manhattan,2024-05-19,,,,,Absent,300
995,Stan,Clow,Manhattan,2024-06-23,,,,,Absent,720
996,Aundrea,Hauff,Manhattan,2024-06-30,,,,,Absent,80
997,Enola,Hernandes,Manhattan,2024-06-30,61,,,,Present,80
998,Adriene,Grabert,Manhattan,2024-05-19,,,,,Absent,300
999,Hillary,Daugherty,Manhattan,2024-06-23,,,,,Absent,75
1000,Desire,Sae,Brooklyn,2024-06-23,,,,,Absent,720
1001,Susie,Neisler,Manhattan,2024-06-23,309,68,26,,Present,720
1002,Nancy,Garrow,Brooklyn,2024-07-14,198,32,39,,Present,360
1003,Margit,Swing,Brooklyn,2024-05-19,254,95,81,78,Present,300
1004,Carmine,Cogdill,Brooklyn,2024-06-23,,,,,Absent,75
1005,Shaunda,Amburn,Manhattan,2024-06-23,,,,,Absent,720
1006,Melva,Police,Manhattan,2024-07-07,34,5,8,21,Present,300
1007,Billie,Pitre,Manhattan,2024-07-28,281,38,32,,Present,720
1008,Shiloh,Guilliams,Manhattan,2024-06-30,369,65,88,,Present,720
1009,Selena,Prideaux,Manhattan,2024-06-23,29,5,6,10,Present,75
1010,Rutha,Starnes,Brooklyn,2024-06-23,,,,,Absent,720
1011,Stephenie,Fredenburg,Brooklyn,2024-07-21,170,6,42,,Present,720
1012,Erline,Lockett,Queens,2024-07-21,216,18,24,,Present,720
1013,Dong,Raglin,Manhattan,2024-07-28,297,45,73,,Present,720
1014,Hubert,Buice,Manhattan,2024-06-23,416,68,8,,Present,720
1015,Sebastian,Miyamoto,Brooklyn,2024-06-23,,,,,Absent,75
1016,Ron,Chitty,Brooklyn,2024-06-23,,,,,Absent,720
1017,Lorie,Mcgranahan,Manhattan,2024-05-19,71,34,18,19,Present,300
1018,Victor,Crofoot,Brooklyn,2024-05-19,,,,,Absent,720
1019,Iris,Costigan,Brooklyn,2024-07-07,,,,,Absent,720
1020,Malorie,Croff,Manhattan,2024-07-28,117,37,18,62,Present,300
1021,Oscar,Creamer,Brooklyn,2024-06-23,48,8,8,20,Present,75
1022,Veta,Silva,Manhattan,2024-05-19,,,,,Absent,720
1023,Michaele,Hanline,Brooklyn,2024-07-07,,,,,Absent,720
1024,Venita,Clevenger,Brooklyn,2024-07-14,159,6,37,,Present,360
1025,Donnette,Dahmer,Brooklyn,2024-05-19,190,75,66,49,Present,300
1026,Lori,Gayer,Brooklyn,2024-06-23,,,,,Absent,75
1027,Genaro,Tijerina,Brooklyn,2024-07-07,,,,,Absent,300
1028,Loraine,Renteria,Manhattan,2024-07-28,366,47,71,,Present,720
1029,Huey,Bartley,Manhattan,2024-07-21,228,4,7,,Present,720
1030,Todd,Brandenberger,Brooklyn,2024-07-28,,,,,Absent,100
1031,Arlene,Ormsby,Manhattan,2024-08-07,,,,,Absent,180
1032,Kimbra,Twigg,Brooklyn,2024-07-14,,,,,Absent,75
1033,Evon,Goolsby,Brooklyn,2024-07-07,97,16,46,35,Present,300
1034,Kent,Leedy,Manhattan,2024-07-28,,,,,Absent,100
1035,Jacinda,Lineman,Brooklyn,2024-06-30,,,,,Absent,720
1036,Fran,Ponder,Manhattan,2024-07-14,51,11,14,26,Present,180
1037,Tanesha,Mccaslin,Brooklyn,2024-07-14,233,37,25,,Present,720
1038,Misha,Vautour,Manhattan,2024-08-07,,,,,Absent,180
1039,Cristi,Ocampo,Manhattan,2024-08-07,32,11,-3,24,Present,180
1040,Thomas,Handley,Manhattan,2024-05-19,34,17,12,5,Absent,300
1041,Kiara,Blanck,Manhattan,2024-07-14,59,15,25,19,Present,180
1042,Fannie,Kiley,Manhattan,2024-07-14,109,-12,26,,Present,720
1043,Christel,Byham,Brooklyn,2024-05-19,421,68,75,,Present,720
1044,Kitty,Klann,Brooklyn,2024-05-19,312,96,41,,Present,720
1045,Merri,Burgett,Brooklyn,2024-07-28,,,,,Absent,720
1046,Shemeka,Fiorentino,Manhattan,2024-07-28,85,35,10,,Present,720
1047,Domenic,Press,Manhattan,2024-07-07,,,,,Absent,300
1048,Eliana,Aleshire,Manhattan,2024-07-14,,,,,Absent,75
1049,Idell,Capito,Queens,2024-07-14,309,31,53,,Present,720
1050,Magdalene,Bradham,Brooklyn,2024-06-30,176,35,1,,Present,720
1051,Anabel,Elem,Brooklyn,2024-05-19,130,50,35,45,Absent,300
1052,Katharina,Kimes,Brooklyn,2024-07-14,11,-5,12,4,Present,180
1053,Leandro,Mastro,Brooklyn,2024-07-14,,,,,Absent,720
1054,Dagny,Pawlik,Manhattan,2024-07-14,,,,,Absent,180
1055,Kathy,Haydon,Manhattan,2024-05-19,162,32,9,,Present,720
1056,Twanna,Brungardt,Manhattan,2024-05-19,440,115,75,,Present,720
1057,Doloris,Farrish,Manhattan,2024-07-28,,,,,Absent,180
1058,Gregory,Carnell,Brooklyn,2024-05-19,181,67,38,76,Present,300
1059,Belva,Summerfield,Manhattan,2024-07-28,66.5,17.5,13.5,15.5,Present,100
1060,Katherine,Bettcher,Manhattan,2024-08-11,69,8,35,26,Present,300
1061,Mila,Costillo,Manhattan,2024-06-16,187,80,48,59,Present,300
1062,Micki,Link,Brooklyn,2024-05-19,,,,,Absent,144
1063,Charise,Balog,Manhattan,2024-06-23,,,,,Absent,75
1064,Ophelia,Crinklaw,Brooklyn,2024-05-19,534,125,118,,Present,720
1065,Larraine,Lybrand,Brooklyn,2024-07-28,,,,,Absent,75
1066,Rigoberto,Reagle,Brooklyn,2024-05-19,125,36,53,36,Present,300
1067,Fredricka,Hornberger,Queens,2024-06-23,27,6,3,11,Present,75
1068,Chauncey,Mccleery,Manhattan,2024-07-07,,,,,Absent,720
1069,Cassandra,Flewelling,Manhattan,2024-06-02,381,55,59,,Present,720
1070,Edith,Santistevan,Brooklyn,2024-06-02,,,,,Absent,720
1071,Micheline,Camp,Bronx,2024-07-07,,,,,Absent,300
1072,Angeline,Cruickshank,Manhattan,2024-06-23,,,,,Absent,720
1073,Shawana,Lewandowski,Manhattan,2024-06-02,,,,,Absent,720
1074,Vivian,Piermarini,Brooklyn,2024-06-23,81,37,6,38,Present,300
1075,Earlene,Streight,Queens,2024-06-30,,,,,Absent,300
1076,Jesica,Rio,Queens,2024-05-19,197,27,39,,Present,360
1077,Mozella,Raglin,Brooklyn,2024-06-02,,,,,Absent,720
1078,Cleopatra,Voltz,Manhattan,2024-05-19,,,,,Absent,360
1079,Keri,Amy,Brooklyn,2024-07-07,102,34,46,22,Present,300
1080,Ivelisse,Moats,Bronx,2024-07-07,86,22,37,27,Present,300
1081,Josefina,Hullinger,Brooklyn,2024-07-28,164,86,40,38,Present,300
1082,Misha,Lasso,Manhattan,2024-05-19,95,23,27,45,Present,300
1083,Janise,Norling,Brooklyn,2024-08-11,,,,,Absent,300
1084,Kyung,Zerby,Brooklyn,2024-07-28,49.5,10,6.5,15,Present,100
1085,Erich,Whitcomb,Brooklyn,2024-06-16,,,,,Absent,300
1086,Leonel,Vanduyn,Brooklyn,2024-05-19,,,,,Absent,300
1087,Del,Guilbert,Brooklyn,2024-08-07,1,0,0,1,Present,180
1088,Kathrine,Armbruster,Brooklyn,2024-07-07,55,26,7,22,Present,300
1089,Magnolia,Hice,Manhattan,2024-05-19,157,56,21,80,Absent,300
1090,Keena,Simpson,Brooklyn,2024-07-14,,,,,Absent,180
1091,Adaline,Dale,Manhattan,2024-08-07,,,,,Absent,180
1092,Sharell,Godfrey,Manhattan,2024-07-14,227,54,18,,Present,720
1093,Charlette,Constable,Manhattan,2024-06-09,57,12,13,16,Present,75
1094,Katherin,Kampf,Manhattan,2024-06-02,418,80,90,,Absent,720
1095,Kurt,Horan,Manhattan,2024-06-30,,,,,Absent,75
1096,Carlee,Crochet,Manhattan,2024-06-16,507,90,84,,Present,720
1097,Emogene,Dundon,Manhattan,2024-06-02,591,120,141,,Present,720
1098,Cory,Hartgrove,Manhattan,2024-06-02,427,54,64,,Present,720
1099,Angie,Garraway,Manhattan,2024-06-02,536,104,101,,Present,720
1100,Kelvin,Hooser,Manhattan,2024-06-09,54,10,12,19,Absent,75
1101,Rayna,Heindel,Brooklyn,2024-06-30,122,41,48,33,Present,300
1102,See,Lebsock,Brooklyn,2024-06-02,,,,,Absent,720
1103,Cristie,Milne,Manhattan,2024-06-23,,,,,Absent,300
1104,Willetta,Rizzo,Manhattan,2024-07-07,,,,,Absent,300
1105,Buster,Tietjen,Manhattan,2024-06-02,450,52,87,,Absent,720
1106,Melissia,Mendelsohn,Brooklyn,2024-06-16,111,48,37,26,Present,300
1107,Xavier,Ravenscroft,Manhattan,2024-06-30,47,,,,Present,75
1108,Eda,Ellenwood,Brooklyn,2024-06-02,,,,,Absent,720
1109,Claris,Krawczyk,Brooklyn,2024-06-02,439,108,66,,Present,720
1110,Marx,Beers,Brooklyn,2024-07-07,112,15,30,67,Present,300
1111,Vincent,Vita,Brooklyn,2024-06-30,74,27,18,29,Present,300
1112,Marianela,Meneses,Brooklyn,2024-06-23,126,52,44,30,Present,300
1113,Archie,Alls,Manhattan,2024-06-02,618,142,141,,Present,720
1114,Lavada,Ligon,Queens,2024-06-09,,,,,Absent,75
1115,Wilber,Wilburn,Manhattan,2024-06-16,,,,,Absent,300
1116,Zoraida,Zwilling,Manhattan,2024-06-02,381,55,59,,Present,720
1117,Della,Dunnington,Manhattan,2024-06-23,264,74,4,,Present,720
1118,Hana,Huddle,Brooklyn,2024-06-23,262,26,14,,Present,720
1119,Tiffiny,Tadlock,Manhattan,2024-06-30,,,,,Absent,300
1120,Kacey,Kimbrell,Brooklyn,2024-07-07,,,,,Absent,300
1121,Gracia,Gall,Manhattan,2024-06-30,133,58,19,56,Present,300
1122,Becki,Borror,Manhattan,2024-06-02,421,53,59,,Absent,720
1123,Lisette,Leeks,Brooklyn,2024-06-16,,,,,Absent,720
1124,Leisha,Lokken,Brooklyn,2024-06-16,31,7,6,18,Present,300
1125,Tijuana,Tabarez,Manhattan,2024-06-30,116,54,24,38,Present,300
1126,Tien,Theriot,Brooklyn,2024-07-07,91,23,17,51,Present,300
1127,Andres,Ascher,Brooklyn,2024-06-23,,,,,Absent,720
1128,Tobi,Trudell,Queens,2024-06-09,43,10,10,15,Present,75
1129,Venita,Volpe,Brooklyn,2024-06-23,,,,,Absent,720
1130,Melba,Mullenax,Manhattan,2024-06-30,,,,,Absent,300
1131,Doris,Diangelo,Brooklyn,2024-06-23,,,,,Absent,720
1132,Zelma,Zamorano,Manhattan,2024-06-02,,,,,Absent,720
1133,Garnett,Gagliano,Manhattan,2024-06-23,,,,,Absent,720
1134,Francene,Faunce,Manhattan,2024-06-23,463,57,76,,Present,720
1135,Yael,Yutzy,Manhattan,2024-05-19,335,77,87,,Present,360
1136,Vance,Vavra,Manhattan,2024-06-02,,,,,Absent,720
1137,Pilar,Paramore,Manhattan,2024-06-02,,,,,Absent,720
1138,Hilary,Honea,Manhattan,2024-07-14,,,,,Absent,720
1139,Madlyn,Mcpeak,Brooklyn,2024-05-19,228,35,42,,Present,720
1140,Walker,Wykoff,Manhattan,2024-06-23,,,,,Absent,720
1141,Rose,Reich,Brooklyn,2024-07-07,,,,,Absent,720
1142,Reginald,Rikard,Brooklyn,2024-06-02,,,,,Absent,720
1143,Chantel,Cao,Queens,2024-06-23,,,,,Absent,720
1144,Kit,Keitt,Brooklyn,2024-06-23,,,,,Absent,720
1145,Terina,Than,Manhattan,2024-06-23,104,55,4,45,Present,300
1146,Clelia,Cimino,Manhattan,2024-06-02,581,129,107,,Present,720
1147,Jeanmarie,Jeffords,Manhattan,2024-06-16,,,,,Absent,300
1148,Sharron,Stutes,Brooklyn,2024-05-19,,,,,Absent,300
1149,Alycia,Afanador,Brooklyn,2024-06-23,43,-2,12,33,Present,300
1150,Debora,Dorner,Manhattan,2024-07-14,359,40,47,,Present,720
1151,Octavia,Olszewski,Brooklyn,2024-05-26,214,47,48,,Present,360
1152,Krysten,Kyser,Brooklyn,2024-06-02,398,59,48,,Absent,720
1153,Aliza,Armistead,Brooklyn,2024-07-14,,,,,Absent,720
1154,Kimberley,Kilgore,Brooklyn,2024-07-07,466,59,97,,Present,720
1155,Tamie,Tucci,Brooklyn,2024-06-16,126,36,40,50,Present,300
1156,Inge,Immel,Brooklyn,2024-05-26,,,,,Absent,360
1157,Malika,Mcandrews,Brooklyn,2024-06-23,94,35,21,38,Present,300
1158,Ozie,Ogg,Manhattan,2024-06-23,,,,,Absent,720
1159,Mollie,Mccumber,Brooklyn,2024-07-14,22,5,4,13,Absent,180
1160,Kasha,Krasner,Brooklyn,2024-06-09,62,11,11,25,Present,75
1161,Odelia,Oceguera,Manhattan,2024-06-16,57,,,,Present,75
1162,Valencia,Verne,Brooklyn,2024-07-28,,,,,Absent,100
1163,Janeth,Jimison,Manhattan,2024-06-16,,,,,Absent,75
1164,Matha,Montag,Brooklyn,2024-06-23,40,7,10,11,Present,75
1165,Stanton,Siegfried,Brooklyn,2024-06-23,,,,,Absent,720
1166,Verlie,Venema,Brooklyn,2024-08-04,24,,,,Present,75
1167,Sherie,Schreiber,Manhattan,2024-07-14,,,,,Absent,180
1168,Cortney,Cappiello,Manhattan,2024-07-28,48,33,5,10,Present,300
1169,Andera,Armitage,Manhattan,2024-05-19,412,70,87,,Present,720
1170,Launa,Lanford,Brooklyn,2024-05-19,292,88,74,,Present,720
1171,Classie,Chauncey,Brooklyn,2024-05-19,217,68,69,80,Present,300
1172,Lynna,Lurry,Manhattan,2024-08-11,,,,,Absent,300
1173,Tama,Toller,Queens,2024-06-23,541,136,70,,Present,720
1174,Shondra,Shedd,Brooklyn,2024-06-16,207,84,48,75,Present,300
1175,Chara,Chadburn,Brooklyn,2024-06-30,,,,,Absent,75
1176,Alvin,Armes,Brooklyn,2024-06-09,,,,,Absent,75
1177,Enid,Eden,Brooklyn,2024-07-07,118,58,24,36,Present,300
1178,Gudrun,Gipe,Bronx,2024-06-02,446,110,85,,Present,720
1179,Shameka,Studivant,Brooklyn,2024-06-16,402,46,52,,Present,720
1180,Gwendolyn,Goetsch,Manhattan,2024-06-02,594,122,138,,Absent,720
1181,Alida,Arent,Brooklyn,2024-06-30,,,,,Absent,300
1182,Virgilio,Vanderford,Manhattan,2024-06-30,206,80,61,65,Present,300
1183,Angeline,Agron,Manhattan,2024-07-07,137,68,39,30,Present,300
1184,Shawanda,Spinelli,Brooklyn,2024-06-02,448,106,52,,Present,720
1185,Geneva,Guidroz,Manhattan,2024-06-30,70,,,,Present,75
1186,Tuyet,Tann,Manhattan,2024-07-07,,,,,Absent,300
1187,Willa,Winner,Brooklyn,2024-06-30,68,,,,Present,75
1188,Geoffrey,Gitlin,Brooklyn,2024-06-02,,,,,Absent,720
1189,Wenona,Williamson,Staten Island,2024-06-02,447,59,89,,Present,720
1190,Rodger,Ruse,Manhattan,2024-07-07,150,71,38,41,Present,300
1191,Vernie,Vassell,Brooklyn,2024-06-30,,,,,Absent,300
1192,Elizebeth,Engstrom,Brooklyn,2024-07-07,133,34,47,52,Present,300
1193,Veda,Vincelette,Manhattan,2024-06-30,,,,,Absent,300
1194,Roosevelt,Reitzel,Manhattan,2024-06-02,476,86,101,,Present,720
1195,Kallie,Kos,Brooklyn,2024-06-30,103,42,14,47,Present,300
1196,Sharen,Swanson,Manhattan,2024-06-30,,,,,Absent,300
1197,Tynisha,Trull,Manhattan,2024-07-07,,,,,Absent,300
1198,Marcell,Monsen,Manhattan,2024-05-19,511,79,130,,Present,720
1199,Tambra,Terrell,Manhattan,2024-06-23,,,,,Absent,720
1200,Houston,Houseknecht,Brooklyn,2024-06-23,400,97,28,,Present,720
1201,Tobie,Teamer,Manhattan,2024-07-07,,,,,Absent,300
1202,Lilian,Lajeunesse,Queens,2024-06-09,34,11,2,13,Present,75
1203,Loriann,Lindbloom,Manhattan,2024-07-07,201,64,12,,Present,720
1204,Booker,Bowerman,Bronx,2024-06-23,,,,,Absent,720
1205,Corrie,Cadieux,Brooklyn,2024-05-19,423,54,111,,Present,720
1206,Roberto,Roberie,Brooklyn,2024-07-07,126,45,45,36,Present,300
1207,Salina,Shiner,Manhattan,2024-06-09,68,11,12,28,Present,75
1208,Maye,Mable,Manhattan,2024-06-16,135,44,36,55,Present,300
1209,Karena,Knapp,Brooklyn,2024-06-16,,,,,Absent,300
1210,Kerri,Kolbe,Brooklyn,2024-07-07,127,-2,24,,Present,720
1211,Kim,Kuo,Manhattan,2024-06-23,166,15,0,,Present,720
1212,Marilu,Miskell,Brooklyn,2024-06-16,200,75,47,78,Present,300
1213,Rochell,Roepke,Brooklyn,2024-07-14,,,,,Absent,720
1214,Damian,Downs,Queens,2024-07-14,,,,,Absent,720
1215,Pamela,Pavlik,Brooklyn,2024-06-30,83,40,3,40,Present,300
1216,Nannette,Nardone,Brooklyn,2024-05-19,223,12,31,,Present,720
1217,Marvella,Mccarron,Brooklyn,2024-07-07,,,,,Absent,300
1218,Larissa,Lover,Brooklyn,2024-06-23,,,,,Absent,720
1219,Adolph,Ankrom,Manhattan,2024-06-02,,,,,Absent,720
1220,Mardell,Mattinson,Brooklyn,2024-07-14,357,29,69,,Present,720
1221,China,Cleghorn,Manhattan,2024-07-07,104,21,46,37,Present,300
1222,Alica,Almeida,Brooklyn,2024-07-14,2,3,-1,0,Absent,180
1223,Rachael,Roger,Brooklyn,2024-06-23,,,,,Absent,720
1224,Margert,Mars,Brooklyn,2024-06-09,54,12,12,19,Present,75
1225,Don,Dao,Queens,2024-06-16,169,67,63,39,Present,300
1226,Dee,Doris,Manhattan,2024-06-09,,,,,Absent,75
1227,Jannette,Jacobo,Brooklyn,2024-06-23,,,,,Absent,720
1228,Donya,Drolet,Manhattan,2024-06-16,167,72,13,82,Present,300
1229,Kassie,Kaiser,Queens,2024-07-14,-4,2,-3,-3,Absent,180
1230,Janine,Jilek,Brooklyn,2024-06-23,380,37,53,,Present,720
1231,Shantel,Sypher,Manhattan,2024-06-16,677,175,152,,Present,720
1232,Reed,Rosecrans,Brooklyn,2024-06-23,333,32,11,,Present,720
1233,Asia,Au,Brooklyn,2024-06-02,451,22,98,,Present,720
1234,Lakiesha,Liston,Queens,2024-06-16,,,,,Absent,75
1235,Joseph,Jacobson,Manhattan,2024-07-28,,,,,Absent,720
1236,Carina,Calico,Brooklyn,2024-08-04,68,,,,Present,75
1237,Melia,Mcnemar,Manhattan,2024-06-23,,,,,Absent,75
1238,Jessenia,Jarnigan,Manhattan,2024-06-02,,,,,Absent,720
1239,Love,Lindamood,Bronx,2024-07-07,77,23,22,32,Present,300
1240,Doretta,Dyess,Brooklyn,2024-07-14,,,,,Absent,720
1241,Annabell,Augustyn,Manhattan,2024-06-23,,,,,Absent,720
1242,Nikki,Necessary,Manhattan,2024-07-07,489,90,69,,Present,720
1243,Edmundo,Elling,Brooklyn,2024-05-19,420,98,71,,Present,720
1244,Jolene,Janes,Manhattan,2024-06-23,293,35,18,,Present,720
