"_id","Center","test_date","physics","chemistry","resultstatus","pp_totalmarks","Full_name","maths_new","new_total","Phone","name","Password"
55,"Manhattan","2024-07-14","3","-5","Present",180,"Zoe Mangrum",-5,-7,"9793563458","Earl","Ear3458"
56,"Brooklyn","2024-07-28","66","42","Present",720,"Marquerite Salaam",296,404,"7199818877","Rana","Ran8877"
57,"Queens","2024-08-11","28","36","Present",720,"Alva Fonte",154,218,"5503339368","Orestes","Ore9368"
58,"Brooklyn","2024-08-24","13","48","Present",720,"Maudie Cage",250,311,"3280783795","Adreinne","Adr3795"
59,"Brooklyn","2024-08-25","","","Absent",300,"Hilde Greaves",0,0,"2859957483","Jennifer","Jen7483"
60,"Brooklyn","2024-07-28","","","Absent",720,"Christiana Rippe",0,0,"3163288804","Alexander","Ale8804"
61,"Brooklyn","2024-08-24","95","93","Present",720,"Bulah Warr",283,471,"7267955749","JT And Tiziana","JT 5749"
62,"Manhattan","2024-07-07","50","11","Present",300,"Azzie Stolte",17,78,"0075588842","Joya","Joy8842"
63,"Brooklyn","2024-07-28","73","91","Present",720,"Sharri Whistler",326,490,"2123172357","James","Jam2357"
64,"Brooklyn","2024-07-28","","","Absent",720,"Rebecka Holliman",0,0,"8035269541","Jeanne","Jea9541"
65,"Manhattan","2024-07-14","24","34","Present",144,"Bryce Muse",36,94,"2944504571","Francesca","Fra4571"
66,"Brooklyn","2024-08-25","24","1","Present",300,"Merideth Marcus",-3,22,"3283582210","Joanna","Joa2210"
67,"Manhattan","2024-07-21","","","Absent",75,"Nova Boden",0,0,"1790523976","Bianca","Bia3976"
68,"Manhattan","2024-07-28","","","Absent",720,"Granville Watchman",0,0,"1274612791","Luiz","Lui2791"
70,"Manhattan","2024-09-01","-6","9","Present",180,"Arielle Ketcham",7,10,"1976723270","Ted","Ted3270"
71,"Brooklyn","2024-08-11","","","Absent",720,"Shona Buggs",0,0,"8622231198","Cristina","Cri1198"
72,"Manhattan","2024-06-23","","","Absent",75,"Aleta Ciesla",0,0,"8297321799","Petra","Pet1799"
73,"Manhattan","2024-08-24","46","113","Present",720,"Jenni Wichman",292,451,"6110207400","D","D7400"
74,"Brooklyn","2024-06-16","24","14","Present",720,"Cuc Phinney",162,200,"2389601720","Dimitri","Dim1720"
75,"Brooklyn","2024-07-14","","","Absent",180,"Danica Fleig",0,0,"1135331803","Patricia","Pat1803"
76,"Manhattan","2024-06-30","44","57","Present",300,"Shaquana Emigh",30,131,"3558332928","Mark","Mar2928"
77,"Brooklyn","2024-08-11","","","Absent",300,"Brinda Master",0,0,"7541697677","Sara","Sar7677"
78,"Manhattan","2024-07-28","17.5","8.5","Present",100,"Janell Hinojos",15,41,"8466649139","Reka","Rek9139"
79,"Brooklyn","2024-07-14","5","9","Present",75,"Karri Celestin",25,39,"1894902852","Daniel","Dan2852"
80,"Manhattan","2024-07-14","","","Absent",180,"Enid Bouley",0,0,"5832786367","Casey","Cas6367"
81,"Manhattan","2024-05-19","21","3","Present",300,"Desire Klenke",28,52,"9161011744","Robin","Rob1744"
82,"Manhattan","2024-07-07","46","32","Present",300,"Brian Chamberlain",10,88,"6632261590","Anna","Ann1590"
83,"Manhattan","2024-05-19","","","Absent",300,"Kristeen Farabaugh",0,0,"3234279513","Enzo","Enz9513"
84,"Manhattan","2024-08-25","","","Absent",300,"Gilda Vanatta",0,0,"9059197554","Tye And Etienne","Tye7554"
85,"Brooklyn","2024-07-14","15","34","Present",720,"Princess Bumbrey",103,152,"4595298035","George","Geo8035"
86,"Manhattan","2024-07-14","108","110","Present",720,"Earlie Townson",218,436,"0974902445","Josh","Jos2445"
87,"Manhattan","2024-08-24","14","2","Present",180,"Fumiko Laliberte",2,18,"8519836240","Victoria","Vic6240"
88,"Queens","2024-07-14","18","5","Present",720,"Sherie Chason",265,288,"4056989723","Justin","Jus9723"
89,"Brooklyn","2024-07-28","65","55","Present",720,"Gricelda Maravilla",341,461,"6057686055","Blaise","Bla6055"
90,"Manhattan","2024-07-28","52","45","Present",720,"Serafina Knoll",227,324,"2387070508","DAVID And RICK","DAV0508"
91,"Brooklyn","2024-07-14","","","Absent",144,"Sachiko Younkin",0,0,"5513096738","LulÃº","Lul6738"
92,"Manhattan","2024-07-28","78","59","Present",720,"Jena Noles",247,384,"7909306752","Sybilla","Syb6752"
93,"Manhattan","2024-07-07","","","Absent",300,"Shelby Wiser",0,0,"9144108716","JoLynn","JoL8716"
94,"Brooklyn","2024-08-25","","","Absent",300,"Margareta Spies",0,0,"7937241538","Gaia","Gai1538"
95,"Manhattan","2024-05-19","30","7","Present",300,"Dinorah Furey",30,67,"3047347549","Ana","Ana7549"
96,"Brooklyn","2024-08-11","","","Absent",720,"Kiyoko Lechuga",0,0,"2107846581","Maggie","Mag6581"
97,"Brooklyn","2024-08-24","11","13","Present",75,"Danny Kreger",32,56,"0991888071","Starlee","Sta8071"
98,"Manhattan","2024-08-11","25","38","Present",720,"Nolan Fenwick",206,269,"0527346091","Edward","Edw6091"
99,"Manhattan","2024-07-21","","","Present",75,"Lesli Unrein",50,50,"6945112473","Pas","Pas2473"
100,"Brooklyn","2024-07-21","","","Absent",75,"Donya Bartle",0,0,"5378570308","LulÃº","Lul0308"
101,"Brooklyn","2024-07-21","3","2","Present",180,"Palma Flanery",0,5,"7419576204","Augustin","Aug6204"
102,"Brooklyn","2024-07-28","135","136","Present",720,"Kenny Clothier",321,592,"5638301704","Sean & Lynette","Sea1704"
103,"Brooklyn","2024-07-28","","","Absent",100,"Kristen Lossing",0,0,"7549890066","Erica","Eri0066"
104,"Brooklyn","2024-07-21","0","10","Present",180,"Karoline Felix",4,14,"2821344765","Tracy","Tra4765"
105,"Brooklyn","2024-06-30","","","Absent",720,"Alan Voll",0,0,"5623057403","Christiana","Chr7403"
106,"Brooklyn","2024-06-30","","","Absent",720,"Glenda Woolfolk",0,0,"6054993905","Tyrome","Tyr3905"
107,"Manhattan","2024-07-28","49","42","Present",300,"Alyson Hosack",35,126,"7965864407","Dana","Dan4407"
108,"Manhattan","2024-08-11","","","Absent",300,"Francis Sines",0,0,"6560602313","Elliott","Ell2313"
109,"Manhattan","2024-07-14","","","Absent",180,"Riley Bagnall",0,0,"0561145193","Olan","Ola5193"
110,"Brooklyn","2024-07-14","","","Absent",180,"Carmina Camp",0,0,"4573603498","Shelly","She3498"
111,"Manhattan","2024-08-04","","","Absent",75,"Alethia Tiemann",0,0,"1914128527","Ssameer Or Trip","Ssa8527"
113,"Manhattan","2024-07-14","","","Absent",360,"Marvella Huckstep",0,0,"2288479934","Meka","Mek9934"
114,"Manhattan","2024-07-28","81","90","Present",720,"Sallie Briley",245,416,"9619421709","Ann","Ann1709"
115,"Brooklyn","2024-08-11","","","Absent",720,"Scottie Backer",0,0,"5332672034","Seth","Set2034"
116,"Brooklyn","2024-08-11","","","Absent",720,"Beatriz Kinsey",0,0,"7375183806","Brenda","Bre3806"
117,"Brooklyn","2024-08-11","","","Absent",720,"Mason Carrow",0,0,"6396916131","Shelly","She6131"
118,"Brooklyn","2024-08-24","10","10","Present",720,"Regenia Blish",147,167,"9520702945","Erik","Eri2945"
119,"Manhattan","2024-08-25","18","8","Present",300,"Necole Faria",16,42,"2804744272","Dena","Den4272"
120,"Brooklyn","2024-07-28","","","Absent",720,"Samantha Hadfield",0,0,"1787273076","Jessica","Jes3076"
121,"Manhattan","2024-07-28","138","147","Present",720,"Lida Sing",299,584,"0477426851","Luiz","Lui6851"
123,"Manhattan","2024-08-24","","","Absent",180,"Illa Friscia",0,0,"8072952260","Sally","Sal2260"
124,"Brooklyn","2024-07-07","","","Absent",300,"Magdalena Clabaugh",0,0,"9964274917","Dani","Dan4917"
125,"Manhattan","2024-07-07","","","Absent",300,"Sol Lemley",0,0,"4366121670","Bruce","Bru1670"
126,"Manhattan","2024-07-28","88","63","Present",720,"Angelyn Nave",321,472,"8220112250","Nimo","Nim2250"
127,"Brooklyn","2024-08-11","51","22","Present",300,"Lorie Hempstead",18,91,"5636722925","Alexandra","Ale2925"
128,"Manhattan","2024-07-07","","","Absent",300,"Darlena Brubaker",0,0,"2660744665","Stacy","Sta4665"
129,"Manhattan","2024-07-28","87","49","Present",720,"Ivory Almonte",237,373,"6796490866","Bruce","Bru0866"
130,"Brooklyn","2024-08-11","27","20","Present",720,"Keva Sauage",192,239,"6655409961","Evelyn","Eve9961"
131,"Manhattan","2024-08-24","","","Absent",300,"Krystin Morita",0,0,"6942780144","Emma","Emm0144"
132,"Brooklyn","2024-05-19","","","Absent",300,"Margarito Hintzen",0,0,"1657314564","Vero","Ver4564"
133,"Manhattan","2024-08-25","","","Absent",300,"Alanna Gillispie",0,0,"3793401747","Sylvie","Syl1747"
134,"Manhattan","2024-08-25","44","17","Present",300,"Alayna Rosenblatt",7,68,"2896429113","Jen","Jen9113"
135,"Brooklyn","2024-07-28","43","30","Present",300,"Deeann Thomsen",9,82,"7075717524","Kay","Kay7524"
136,"Brooklyn","2024-05-19","","","Absent",300,"Guy Moulton",0,0,"5272476702","Jo","Jo6702"
137,"Manhattan","2024-08-11","13","15","Present",720,"Ming Scudder",202,230,"8854511008","Lisa","Lis1008"
138,"Manhattan","2024-07-14","61","90","Present",720,"Mickey Espino",285,436,"1553735069","Fernando And Lenin","Fer5069"
139,"Brooklyn","2024-08-18","","","Absent",180,"Mellissa Mortimore",0,0,"6972267625","Angela","Ang7625"
140,"Manhattan","2024-05-19","","","Absent",300,"Lesia Stoute",0,0,"2239696714","Laurine","Lau6714"
141,"Brooklyn","2024-08-24","2","4","Present",300,"Pauletta Murton",17,23,"8738725659","Chris","Chr5659"
142,"Manhattan","2024-05-19","25","25","Present",300,"Solomon Chamberlin",29,79,"8893316054","Uli","Uli6054"
143,"Brooklyn","2024-07-07","28","30","Present",300,"Neville Yocom",34,92,"9018100645","Sol","Sol0645"
144,"Manhattan","2024-08-24","","","Absent",180,"Vera Edmiston",0,0,"1003704034","Cs","Cs4034"
146,"Manhattan","2024-05-19","35","21","Present",300,"Cedrick Agnew",42,98,"9949515624","Tom","Tom5624"
147,"Brooklyn","2024-07-07","14","16","Present",300,"Melinda Kuchta",42,72,"7835546632","Sunder","Sun6632"
148,"Brooklyn","2024-08-04","","","Absent",300,"Alma Gelinas",0,0,"3499435078","Waldemar","Wal5078"
149,"Brooklyn","2024-08-11","","","Absent",720,"Francis Sikes",0,0,"3798036448","Khem","Khe6448"
150,"Brooklyn","2024-08-25","65","19","Present",300,"Minerva Giles",26,110,"8563833605","Sahr","Sah3605"
151,"Brooklyn","2024-07-28","66","42","Present",720,"Nikki Iskra",296,404,"3281543924","Ali+Scott","Ali3924"
152,"Brooklyn","2024-07-21","","","Present",75,"Lore Coil",49,49,"0021541545","Elisabeth","Eli1545"
153,"Brooklyn","2024-07-14","11","21","Present",144,"Marlena Craner",28,60,"7519572896","Sarah","Sar2896"
154,"Queens","2024-07-14","57","60","Present",360,"Darius Trojacek",156,273,"8484247022","Fredah","Fre7022"
155,"Brooklyn","2024-07-28","52","45","Present",720,"Sade Gasaway",227,324,"9820762931","Khem","Khe2931"
156,"Brooklyn","2024-07-21","","","Present",75,"Sybil Rahman",58,58,"5557635777","Katherine","Kat5777"
157,"Brooklyn","2024-07-28","","","Absent",720,"Zoraida Sumner",0,0,"3798308795","Ming","Min8795"
158,"Manhattan","2024-08-25","55","9","Present",300,"Raina Mccrae",38,102,"9187426739","Paula","Pau6739"
159,"Brooklyn","2024-08-04","","","Absent",198,"Elsa Mcspadden",0,0,"3694116750","LulÃº","Lul6750"
160,"Brooklyn","2024-07-21","36","58","Present",720,"Bernadine Chung",314,408,"5641084625","Obed","Obe4625"
161,"Manhattan","2024-07-28","","","Absent",75,"Francie Frase",0,0,"9085038977","Karen","Kar8977"
162,"Brooklyn","2024-07-17","","","Absent",720,"Mariana Vavra",0,0,"8563536990","Michael","Mic6990"
163,"Brooklyn","2024-08-24","56","7","Present",720,"Nakita Primer",176,239,"7054122185","White","Whi2185"
164,"Brooklyn","2024-08-25","","","Absent",300,"Aletha Hardesty",0,0,"0218135569","Paz","Paz5569"
165,"Manhattan","2024-06-23","","","Absent",720,"Dwain Sargeant",0,0,"1871343992","Irene","Ire3992"
166,"Manhattan","2024-08-04","","","Absent",300,"Thea Hubbs",0,0,"9207392317","Karene","Kar2317"
167,"Brooklyn","2024-06-02","62","57","Present",720,"Caleb Peters",323,442,"5940104089","Viviana","Viv4089"
168,"Manhattan","2024-08-25","3","16","Present",300,"Sparkle Kaestner",30,49,"6440005875","Sara","Sar5875"
169,"Brooklyn","2024-06-16","","","Absent",300,"Narcisa Hsieh",0,0,"8684150837","Sarah","Sar0837"
170,"Manhattan","2024-05-19","53","5","Present",300,"Sherwood Vanalstyne",30,88,"2138158049","Marie","Mar8049"
171,"Brooklyn","2024-08-25","","","Absent",300,"Jeanice Joy",0,0,"4265782396","Gus","Gus2396"
172,"Queens","2024-07-28","63","29","Present",300,"Bert Riter",22,114,"4021811172","Myung","Myu1172"
173,"Brooklyn","2024-06-16","69","34","Present",300,"Dorotha Aldinger",51,154,"8032203503","RenÃ©e","Ren3503"
174,"Brooklyn","2024-05-19","36","9","Present",300,"Anisha Thomson",71,116,"5141653187","Henry","Hen3187"
177,"Manhattan","2024-07-28","","","Absent",720,"Noelle Raybon",0,0,"9720639033","Lorenzo","Lor9033"
178,"Brooklyn","2024-08-04","","","Absent",198,"Shanae Hanger",0,0,"3362407744","Waldemar","Wal7744"
179,"Brooklyn","2024-08-11","","","Absent",300,"William Hopf",0,0,"9756438799","Annette","Ann8799"
180,"Staten Island","2024-07-21","85","80","Present",720,"Adolfo Bella",175,340,"4495197237","Newyorkroomwithaview","New7237"
182,"Bronx","2024-05-19","","","Absent",300,"Brenton Tokarski",0,0,"9893215177","Waundell","Wau5177"
183,"Brooklyn","2024-08-25","","","Absent",300,"Hal Bender",0,0,"4841784685","Young","You4685"
184,"Manhattan","2024-07-07","10","7","Present",300,"Geraldine Border",31,48,"3997650643","Bruce","Bru0643"
185,"Manhattan","2024-07-14","25","60","Present",720,"Setsuko Pardo",261,346,"3801058852","Coral","Cor8852"
186,"Brooklyn","2024-08-24","-5","-5","Present",300,"Meghan Sydnor",20,10,"8675982022","Carol","Car2022"
187,"Manhattan","2024-05-19","","","Absent",300,"Lavern Gard",0,0,"6819058443","Sara","Sar8443"
188,"Manhattan","2024-06-30","62","13","Present",720,"Cyrus Beckham",141,216,"1222426114","Laurine","Lau6114"
189,"Manhattan","2024-06-30","63","35","Present",720,"Leeanne Fortunato",200,298,"4723626776","Myrna","Myr6776"
190,"Manhattan","2024-08-11","","","Absent",300,"Nilda Deyoung",0,0,"3960483440","Campbell","Cam3440"
191,"Brooklyn","2024-06-02","17","59","Present",720,"Marylee Greenburg",290,366,"7809587033","Doug","Dou7033"
192,"Queens","2024-07-14","12","1","Present",180,"Gay Aubert",10,23,"5945043047","Mark","Mar3047"
193,"Manhattan","2024-06-02","100","131","Present",720,"Janel Carley",345,576,"2955633923","Rahul","Rah3923"
194,"Brooklyn","2024-06-16","","","Absent",300,"Damaris Nestle",0,0,"3823095123","Miyoung","Miy5123"
195,"Brooklyn","2024-08-25","","","Absent",300,"Jeanine Hoerr",0,0,"5209546103","Monica","Mon6103"
196,"Brooklyn","2024-06-16","9","24","Present",300,"Wiley Scotto",20,53,"9365940278","Marylyn","Mar0278"
197,"Brooklyn","2024-06-16","70","38","Present",300,"Dian Cobian",54,162,"6631188444","Kathleen R.","Kat8444"
198,"Manhattan","2024-08-04","","","Absent",198,"Brendan Zilnicki",0,0,"0250996612","Teresa","Ter6612"
200,"Manhattan","2024-08-25","","","Absent",300,"Flavia Nitta",0,0,"8305053242","Alex","Ale3242"
201,"Manhattan","2024-07-28","","","Absent",300,"Humberto Ware",0,0,"5447757209","Claudia","Cla7209"
202,"Manhattan","2024-08-04","-5","11","Present",198,"Ned Permenter",5,11,"1750534125","Shane","Sha4125"
203,"Brooklyn","2024-05-19","","","Absent",300,"Albertina Junkin",0,0,"4289595562","Laurie","Lau5562"
204,"Manhattan","2024-08-25","57","19","Present",300,"Rosia Duron",7,83,"7711748425","Jessica","Jes8425"
205,"Manhattan","2024-07-28","","","Absent",300,"Kena Stallings",0,0,"3637209311","Erina","Eri9311"
206,"Manhattan","2024-08-25","46","34","Present",300,"Lolita Pringle",13,93,"7282021752","Lee","Lee1752"
207,"Queens","2024-07-14","","","Absent",360,"Kristen Gilley",0,0,"2632245237","Jullett","Jul5237"
208,"Manhattan","2024-07-28","109","113","Present",720,"Genaro Koga",321,543,"5016520218","Marlaine","Mar0218"
209,"Brooklyn","2024-07-28","119","125","Present",720,"Suzanna Putman",310,554,"4878496972","Charlotte","Cha6972"
210,"Queens","2024-07-28","","","Absent",720,"Candy Konieczny",0,0,"5149807292","Mark","Mar7292"
212,"Queens","2024-08-11","","","Absent",720,"Leonel Hock",0,0,"0467135368","Mark","Mar5368"
213,"Brooklyn","2024-08-11","0","16","Present",300,"Vannesa Millard",28,44,"4533848865","Bob","Bob8865"
214,"Manhattan","2024-08-04","-7","0","Present",144,"Melonie Villacorta",7,0,"8670432084","Anka","Ank2084"
215,"Manhattan","2024-08-04","5","25","Present",144,"Dorine Zeitler",12,42,"9559446141","Douglas","Dou6141"
216,"Brooklyn","2024-08-24","11","13","Present",75,"Bridget Conyers",38,62,"2510297984","Kathleen R.","Kat7984"
217,"Manhattan","2024-07-28","","","Absent",300,"Jacklyn Dyment",0,0,"4540042877","Wayne","Way2877"
219,"Manhattan","2024-08-04","30","21","Present",300,"Herbert Gamache",3,54,"8534210366","Jenny","Jen0366"
220,"Brooklyn","2024-08-11","25","18","Present",300,"Antonietta Llewellyn",26,69,"5975702062","Paul","Pau2062"
221,"Brooklyn","2024-08-25","","","Absent",180,"Pennie Alling",0,0,"0573057435","Tami","Tam7435"
222,"Manhattan","2024-07-14","","","Absent",720,"Laree Kay",0,0,"1870232605","Jason","Jas2605"
223,"Manhattan","2024-08-11","9","7","Present",300,"Antonio Navarette",14,30,"7660303328","Pete","Pet3328"
224,"Brooklyn","2024-06-09","10","11","Present",75,"Steve Mainor",39,60,"7114451655","Gus","Gus1655"
225,"Brooklyn","2024-06-16","","","Absent",300,"Gertrud Sather",0,0,"0279316050","Sally","Sal6050"
226,"Manhattan","2024-08-25","30","30","Present",300,"Nan Beverley",21,81,"4726324653","Leonardo","Leo4653"
228,"Manhattan","2024-08-04","","","Absent",198,"Colby Hobart",0,0,"8531916559","Wayne","Way6559"
229,"Queens","2024-06-23","8","10","Present",75,"Patrick Nocera",30,48,"0849979303","Vasili","Vas9303"
230,"Brooklyn","2024-06-16","","","Absent",720,"Hilary Modeste",0,0,"5795851992","S.M.","S.M1992"
232,"Manhattan","2024-06-23","9","12","Present",75,"Faustina Dunson",39,60,"6610228533","Ana","Ana8533"
235,"Manhattan","2024-06-16","127","119","Present",720,"Opal Groover",350,596,"8088325450","Simon","Sim5450"
236,"Manhattan","2024-08-11","","","Absent",720,"Maryln Ferris",0,0,"3634909713","Agnes","Agn9713"
237,"Brooklyn","2024-06-23","","","Absent",75,"Katrina Almon",0,0,"2584470823","Linda","Lin0823"
238,"Manhattan","2024-08-11","107","136","Present",720,"Stephane Labelle",295,538,"6892070700","Dave","Dav0700"
239,"Manhattan","2024-07-28","69","35","Present",300,"Christene Gloria",19,123,"3344664736","Drica","Dri4736"
240,"Queens","2024-08-24","","","Absent",300,"Araceli Majewski",0,0,"4345991864","Mark","Mar1864"
241,"Brooklyn","2024-08-25","","","Absent",300,"Marilou Funderburg",0,0,"4037757886","Betty","Bet7886"
242,"Manhattan","2024-06-16","16","-2","Present",300,"America Tocci",8,22,"9753178486","Ricardo & Ashlie","Ric8486"
243,"Manhattan","2024-06-16","","","Absent",300,"Erich Ragin",0,0,"2142049969","Leslie","Les9969"
244,"Manhattan","2024-08-25","15","10","Present",100,"Neoma Pellegrino",38,63,"0502772785","Harrison","Har2785"
245,"Manhattan","2024-07-21","","","Absent",75,"Sid Lamore",0,0,"5656600917","Jessica","Jes0917"
246,"Manhattan","2024-08-24","","","Absent",75,"Stella Morman",0,0,"6130871664","Blanca","Bla1664"
247,"Manhattan","2024-08-24","9","8","Present",75,"Ha Durrah",27,44,"8616978421","Wayne","Way8421"
248,"Manhattan","2024-06-23","97","69","Present",720,"Chantel Absher",219,385,"9864599029","Cynthia","Cyn9029"
250,"Manhattan","2024-09-01","-2","-4","Present",180,"Michelina Holscher",3,-3,"6556730645","Rachel","Rac0645"
251,"Manhattan","2024-08-11","60","36","Present",300,"Verlene Arviso",54,150,"7229821482","Laurine","Lau1482"
252,"Manhattan","2024-07-07","25","56","Present",300,"Lois Tew",33,114,"5025980036","Greta","Gre0036"
253,"Manhattan","2024-08-24","9","64","Present",720,"Miguelina Hoyte",210,283,"2049920209","Frank","Fra0209"
254,"Manhattan","2024-08-11","12","17","Present",300,"Evelina Willaert",18,47,"9403021113","Bethania","Bet1113"
255,"Manhattan","2024-06-16","","","Absent",720,"Ranae Topp",0,0,"7046701104","Tunji","Tun1104"
256,"Manhattan","2024-08-25","","","Absent",300,"Carolann Veasley",0,0,"0129831292","Anna/Fonzy","Ann1292"
257,"Brooklyn","2024-05-19","","","Absent",300,"Jeannette Gravelle",0,0,"6457216490","Colette&Sean","Col6490"
258,"Manhattan","2024-08-04","","","Present",75,"Lenita Slevin",64,64,"9995859688","Brie","Bri9688"
259,"Brooklyn","2024-06-16","30","10","Present",300,"Valentina Quinby",36,76,"3518200093","Sheila","She0093"
260,"Staten Island","2024-06-23","9","13","Present",75,"Latoyia Bushway",35,57,"3814992120","Lissette","Lis2120"
262,"Staten Island","2024-07-28","58","48","Present",300,"Flora Plascencia",22,128,"6533143580","Lissette","Lis3580"
263,"Manhattan","2024-07-28","20","15","Present",100,"Azucena Herder",60,95,"5636697631","Olivia","Oli7631"
264,"Manhattan","2024-07-14","11","11","Present",75,"Kathi Lilienthal",34,56,"0387405796","Daniel","Dan5796"
265,"Brooklyn","2024-07-21","22","20","Present",180,"Andrea Saine",3,45,"1791340629","Maya","May0629"
266,"Brooklyn","2024-07-28","","","Absent",100,"Shawna Riviera",0,0,"5853398393","Scott","Sco8393"
267,"Staten Island","2024-07-28","","","Absent",720,"Nolan Harwell",0,0,"3229687032","Lissette","Lis7032"
269,"Brooklyn","2024-08-11","","","Absent",720,"Birgit Puente",0,0,"0093500513","AntonÃ­n","Ant0513"
270,"Brooklyn","2024-06-23","","","Absent",75,"Gerry Medal",0,0,"4477999059","Emily","Emi9059"
272,"Bronx","2024-08-24","","","Absent",180,"Annalisa Rotolo",0,0,"6766828579","Vie","Vie8579"
273,"Brooklyn","2024-06-16","35","22","Present",720,"Eilene Jolly",50,107,"7354307243","RenÃ©e","Ren7243"
274,"Manhattan","2024-06-16","82","77","Present",300,"Kathey Keep",86,245,"0467516009","Olivia","Oli6009"
275,"Brooklyn","2024-07-28","9","9","Present",75,"Fanny Dutra",28,46,"6606129867","Helene","Hel9867"
276,"Manhattan","2024-08-25","-6","-2","Present",300,"Leanne Proto",27,19,"3797794830","Paula","Pau4830"
277,"Brooklyn","2024-07-28","","","Absent",300,"Traci Heier",0,0,"9121391465","Kristian & Di","Kri1465"
278,"Manhattan","2024-07-28","","","Absent",300,"Jennette Everett",0,0,"2351687291","David","Dav7291"
279,"Brooklyn","2024-07-28","","","Absent",75,"Levi Sharpton",0,0,"0204386140","Niya","Niy6140"
280,"Brooklyn","2024-05-19","18","1","Present",300,"Jackson Sills",13,32,"3431226449","Helene","Hel6449"
281,"Brooklyn","2024-07-14","","","Absent",360,"Fabiola Virden",0,0,"4630162705","Debbie","Deb2705"
282,"Brooklyn","2024-08-11","71","93","Present",720,"Wan Zajac",280,444,"7895156422","Anthony","Ant6422"
283,"Manhattan","2024-08-11","","","Absent",720,"Franklin Kruger",0,0,"4189938568","Tilly","Til8568"
285,"Manhattan","2024-07-21","54","78","Present",720,"Yolonda Jorgenson",209,341,"0964119973","Claire","Cla9973"
286,"Brooklyn","2024-08-04","6","5","Present",198,"Kraig Grove",7,18,"7906066771","Juhli","Juh6771"
287,"Brooklyn","2024-08-04","","","Absent",144,"Joanna Westman",0,0,"6752080726","Marlon","Mar0726"
288,"Manhattan","2024-07-28","65","36","Present",300,"Luetta Wyse",51,152,"2002059639","Mary D","Mar9639"
289,"Brooklyn","2024-07-28","63","91","Present",720,"Nana Neilsen",215,369,"9259261113","Valerie","Val1113"
290,"Brooklyn","2024-09-07","","","Absent",180,"Elidia Gillett",0,0,"5598685521","Larissa","Lar5521"
291,"Manhattan","2024-08-11","","","Absent",720,"Lien Brigmond",0,0,"8599644659","Eric","Eri4659"
292,"Brooklyn","2024-09-07","","","Absent",180,"Meaghan Majeed",0,0,"2360183439","Jessica","Jes3439"
293,"Brooklyn","2024-08-04","","","Absent",198,"Dominica Lanterman",0,0,"8895918528","Melissa","Mel8528"
294,"Brooklyn","2024-06-16","41","55","Present",720,"Cami Ryals",221,317,"6641521948","Alex","Ale1948"
295,"Manhattan","2024-08-04","","","Absent",198,"Caroline Fleischer",0,0,"0910709873","Samir","Sam9873"
296,"Manhattan","2024-06-23","","","Absent",75,"Joyce Pleasant",0,0,"0074250035","Tony","Ton0035"
297,"Brooklyn","2024-06-23","","","Absent",75,"Kyung Hearne",0,0,"5465230371","Luis Fernando","Lui0371"
299,"Brooklyn","2024-07-28","9","17","Present",720,"Jong Steele",170,196,"5536586996","Stefano","Ste6996"
300,"Brooklyn","2024-08-11","","","Absent",300,"Benton Duty",0,0,"4797972925","Jana","Jan2925"
301,"Manhattan","2024-08-24","112","144","Present",720,"Margrett Hanks",351,607,"9716121749","Per","Per1749"
302,"Brooklyn","2024-07-14","11","11","Present",75,"Sherwood Lingenfelter",34,56,"0227241136","Adrienne","Adr1136"
303,"Manhattan","2024-06-23","0","75","Present",720,"Livia Starr",265,340,"1308943920","Elise","Eli3920"
304,"Manhattan","2024-07-28","37","68","Present",720,"Edna Holt",224,329,"0057408757","Deda","Ded8757"
305,"Manhattan","2024-07-28","171","120","Present",720,"Denise Balser",220,511,"9262621610","Share","Sha1610"
306,"Brooklyn","2024-08-11","31","23","Present",300,"Rolf Galley",47,101,"0483783351","Naimah","Nai3351"
307,"Manhattan","2024-07-28","","","Absent",720,"Enedina Mika",0,0,"9243298015","Violetta","Vio8015"
308,"Brooklyn","2024-06-23","23","22","Present",720,"Brandon Authement",122,167,"6180067889","Jenna","Jen7889"
309,"Brooklyn","2024-06-30","114","97","Present",720,"Afton Dees",282,493,"2271459761","Jason","Jas9761"
310,"Manhattan","2024-07-14","","","Absent",75,"Cecile Kealey",0,0,"0036397507","Alicia","Ali7507"
311,"Manhattan","2024-06-30","","","Absent",300,"Dusty Bickel",0,0,"8041940791","Silvia","Sil0791"
313,"Manhattan","2024-08-24","11","7","Present",75,"Leeanna Gregson",29,47,"0661391119","Mary And Geoff","Mar1119"
314,"Manhattan","2024-08-24","","","Absent",720,"Perry Daigneault",0,0,"8173885466","Eyal","Eya5466"
315,"Manhattan","2024-07-14","5","9","Present",180,"Solange Borror",29,43,"0288961698","Bruce","Bru1698"
316,"Manhattan","2024-07-14","","","Absent",180,"Jamey Kirwin",0,0,"5281062039","Kurt","Kur2039"
317,"Manhattan","2024-08-11","","","Absent",300,"Jani Foulds",0,0,"2693741004","Jennifer","Jen1004"
320,"Bronx","2024-08-11","40","9","Present",300,"Idalia Peluso",26,75,"9024024441","Thai","Tha4441"
321,"Manhattan","2024-07-28","","","Absent",720,"Gerri Rotter",0,0,"8175098686","Hudson","Hud8686"
322,"Brooklyn","2024-08-11","","","Absent",300,"Mervin Woolum",0,0,"2479310264","Vanessa","Van0264"
